Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff,LAST 2 WEEKS: W,LAST 2 WEEKS: L,LAST 2 WEEKS: Point Diff Rank,LAST 2 WEEKS: Point Diff,LAST 2 WEEKS: Offense Rank,LAST 2 WEEKS: Offense,LAST 2 WEEKS: Defense Rank,LAST 2 WEEKS: Defense,LAST 2 WEEKS: Spread Diff Rank,LAST 2 WEEKS: Spread Diff
Utah,1,12.8,20,7,74.1%,68.2,22.4,28,-2.4,1,119.3,5,106.5,3,3.2,6,0,2,17.2,1,127.0,9,109.8,3,11.0
Golden State,2,11.3,23,5,82.1%,66.8,22.8,15,0.2,4,112.7,1,101.4,2,5.4,5,2,4,7.0,20,109.7,3,102.7,14,-0.1
Phoenix,3,6.6,22,5,81.5%,57.5,18.9,1,3.1,9,111.1,3,104.5,9,1.1,4,2,10,1.8,27,106.3,4,104.5,21,-2.9
Cleveland,4,5.3,18,12,60.0%,54.6,20.0,26,-2.0,18,109.6,2,104.3,1,8.5,7,2,3,16.3,5,116.6,2,100.2,2,13.9
Milwaukee,5,5.2,19,11,63.3%,54.0,19.8,20,-0.8,6,112.1,6,107.0,16,-0.4,6,3,7,4.9,9,114.8,10,109.9,12,0.1
Brooklyn,6,4.0,20,8,71.4%,51.3,17.5,5,2.5,7,111.7,10,107.7,23,-1.6,5,2,9,2.0,16,111.3,8,109.3,18,-1.4
Chicago,7,3.6,17,10,63.0%,50.4,16.6,13,0.4,10,110.8,7,107.2,10,0.8,3,2,23,-5.0,26,107.1,14,112.1,26,-5.8
Miami,8,3.1,17,12,58.6%,49.2,17.4,18,-0.4,12,110.8,9,107.7,4,2.1,4,4,21,-3.7,25,107.5,12,111.2,13,-0.1
Atlanta,9,2.3,14,14,50.0%,46.8,16.0,27,-2.0,3,113.8,22,111.5,17,-0.8,3,4,13,0.2,7,115.7,22,115.5,20,-2.6
Memphis,10,2.0,18,11,62.1%,46.2,16.3,6,1.7,5,112.3,18,110.3,7,1.7,7,1,1,19.7,4,117.5,1,97.8,1,17.8
Indiana,11,1.9,12,18,40.0%,46.0,16.8,30,-4.8,8,111.2,13,109.3,11,0.7,3,4,11,1.6,6,116.5,21,114.8,17,-1.2
Boston,12,1.8,14,14,50.0%,45.8,15.6,25,-1.6,19,109.3,8,107.5,14,0.0,3,4,19,-1.9,12,112.9,20,114.8,10,1.6
LA Clippers,13,1.4,16,13,55.2%,44.7,15.8,14,0.2,25,107.4,4,106.0,24,-1.9,5,3,12,0.7,15,111.4,11,110.7,15,-0.1
Philadelphia,14,0.5,15,14,51.7%,42.4,15.0,16,0.0,13,110.5,15,109.9,19,-1.2,4,4,22,-4.1,24,107.8,13,111.9,27,-7.1
Charlotte,15,0.5,16,14,53.3%,42.3,15.5,12,0.5,2,114.5,29,114.0,5,1.8,3,4,17,-0.6,2,122.9,30,123.5,6,3.5
Minnesota,16,0.0,13,15,46.4%,40.9,14.0,21,-1.0,22,108.3,11,108.4,12,0.3,2,5,24,-7.9,19,109.7,26,117.6,22,-3.6
Toronto,17,-0.6,13,15,46.4%,39.4,13.5,19,-0.5,16,109.9,19,110.5,6,1.7,4,2,5,6.3,13,112.2,5,105.9,4,4.5
Denver,18,-1.0,14,14,50.0%,38.5,13.1,8,0.9,14,110.2,20,111.2,15,-0.4,4,4,18,-1.0,10,113.5,19,114.6,19,-1.9
San Antonio,19,-1.1,10,17,37.0%,38.2,12.6,29,-2.6,20,108.7,14,109.8,8,1.6,4,4,14,0.1,11,113.5,15,113.4,5,3.8
New York,20,-1.2,12,16,42.9%,38.0,13.0,22,-1.0,15,110.0,21,111.2,29,-3.3,1,6,25,-8.2,22,109.3,25,117.4,25,-5.3
LA Lakers,21,-1.4,16,13,55.2%,37.4,13.2,2,2.8,24,107.4,12,108.8,27,-2.9,4,2,6,5.5,14,111.5,6,105.9,11,1.3
Dallas,22,-1.4,14,14,50.0%,37.3,12.7,7,1.3,21,108.6,17,110.0,22,-1.4,4,5,8,3.8,17,111.0,7,107.2,6,3.5
Portland,23,-2.2,11,18,37.9%,35.3,12.5,24,-1.5,11,110.8,27,113.1,30,-4.4,0,7,29,-12.9,30,100.6,16,113.5,30,-12.5
Washington,24,-2.4,15,14,51.7%,34.8,12.3,3,2.7,23,107.6,16,110.0,25,-2.0,2,6,27,-8.8,23,108.6,24,117.4,28,-7.9
Sacramento,25,-3.6,12,17,41.4%,31.9,11.3,11,0.7,17,109.8,28,113.4,20,-1.2,4,3,15,-0.1,8,115.5,23,115.6,9,2.0
Houston,26,-6.8,9,19,32.1%,24.1,8.2,10,0.8,26,105.6,25,112.4,13,0.1,5,3,16,-0.1,3,118.6,28,118.7,8,2.9
New Orleans,27,-7.6,9,21,30.0%,22.4,8.2,9,0.8,27,105.4,26,113.0,18,-1.1,3,4,20,-3.3,18,110.9,18,114.2,23,-3.8
Detroit,28,-10.7,4,22,15.4%,16.1,5.1,23,-1.1,29,100.9,24,111.6,28,-2.9,0,5,28,-10.2,29,103.4,17,113.6,24,-5.1
Oklahoma City,29,-10.7,8,19,29.6%,16.1,5.3,4,2.7,30,100.8,23,111.5,26,-2.3,2,5,30,-16.2,28,103.5,29,119.7,29,-10.9
Orlando,30,-11.6,5,24,17.2%,14.9,5.3,17,-0.3,28,102.7,30,114.3,21,-1.4,1,6,26,-8.7,21,109.3,27,118.0,16,-0.9